2020-04-21 14:15:48:DRPF:INFO: 
2020-04-21 14:15:48:DRPF:INFO: Initialization Framework cwd=/home/skwok/vscode/KeckDRPFramework/keckdrpframework/examples
2020-04-21 14:15:48:DRPF:INFO: Framework initialized
2020-04-21 14:15:48:DRPF:INFO: Framework main loop started
2020-04-21 14:15:48:DRPF:INFO: Event completed: name next_file, action simple_fits_reader.SimpleFitsReader, arg name ../../keckdrpframework/unit_tests/test_files/569_0000.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name file_ready, action hist_equal2d, arg name ../../keckdrpframework/unit_tests/test_files/569_0000.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name histeq_done, action save_png, arg name ../../keckdrpframework/unit_tests/test_files/569_0000.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name next_file, action simple_fits_reader.SimpleFitsReader, arg name ../../keckdrpframework/unit_tests/test_files/569_0001.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name file_ready, action hist_equal2d, arg name ../../keckdrpframework/unit_tests/test_files/569_0001.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name histeq_done, action save_png, arg name ../../keckdrpframework/unit_tests/test_files/569_0001.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name next_file, action simple_fits_reader.SimpleFitsReader, arg name ../../keckdrpframework/unit_tests/test_files/570_0000.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name file_ready, action hist_equal2d, arg name ../../keckdrpframework/unit_tests/test_files/570_0000.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name histeq_done, action save_png, arg name ../../keckdrpframework/unit_tests/test_files/570_0000.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name next_file, action simple_fits_reader.SimpleFitsReader, arg name ../../keckdrpframework/unit_tests/test_files/570_0001.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name file_ready, action hist_equal2d, arg name ../../keckdrpframework/unit_tests/test_files/570_0001.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name histeq_done, action save_png, arg name ../../keckdrpframework/unit_tests/test_files/570_0001.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name next_file, action simple_fits_reader.SimpleFitsReader, arg name ../../keckdrpframework/unit_tests/test_files/571_0000.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name file_ready, action hist_equal2d, arg name ../../keckdrpframework/unit_tests/test_files/571_0000.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name histeq_done, action save_png, arg name ../../keckdrpframework/unit_tests/test_files/571_0000.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name next_file, action simple_fits_reader.SimpleFitsReader, arg name ../../keckdrpframework/unit_tests/test_files/571_0001.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name file_ready, action hist_equal2d, arg name ../../keckdrpframework/unit_tests/test_files/571_0001.fits, recurr False
2020-04-21 14:15:48:DRPF:INFO: Event completed: name histeq_done, action save_png, arg name ../../keckdrpframework/unit_tests/test_files/571_0001.fits, recurr False
2020-04-21 14:15:51:DRPF:INFO: Exiting main loop
